,iso_code,month_year,new_deaths_smoothed,continent,populatie,d_person,d_hundred_duizend
5250,OWID_ASI,2020-01,,Azie,4721383370.0,,
5251,OWID_ASI,2020-02,2606.0,Azie,4721383370.0,5.51956872758672e-07,0.0551956872758672
5252,OWID_ASI,2020-03,3746.859,Azie,4721383370.0,7.935934675010303e-07,0.07935934675010303
5253,OWID_ASI,2020-04,9885.857,Azie,4721383370.0,2.093847549600701e-06,0.2093847549600701
5254,OWID_ASI,2020-05,11623.57,Azie,4721383370.0,2.461899212391219e-06,0.2461899212391219
5255,OWID_ASI,2020-06,24705.145,Azie,4721383370.0,5.23260728136974e-06,0.523260728136974
5256,OWID_ASI,2020-07,38677.997,Azie,4721383370.0,8.192089895889984e-06,0.8192089895889985
5257,OWID_ASI,2020-08,45954.286,Azie,4721383370.0,9.733224862017506e-06,0.9733224862017507
5258,OWID_ASI,2020-09,51661.002,Azie,4721383370.0,1.0941920609170951e-05,1.0941920609170952
5259,OWID_ASI,2020-10,49244.713,Azie,4721383370.0,1.0430144968295596e-05,1.0430144968295596
5260,OWID_ASI,2020-11,48116.859,Azie,4721383370.0,1.0191262862858771e-05,1.0191262862858772
5261,OWID_ASI,2020-12,46685.86,Azie,4721383370.0,9.888173940003521e-06,0.9888173940003522
5262,OWID_ASI,2021-01,35945.429000000004,Azie,4721383370.0,7.613325625790054e-06,0.7613325625790054
5263,OWID_ASI,2021-02,26371.859,Azie,4721383370.0,5.585621190511374e-06,0.5585621190511374
5264,OWID_ASI,2021-03,30808.569,Azie,4721383370.0,6.525326707371361e-06,0.6525326707371361
5265,OWID_ASI,2021-04,81287.0,Azie,4721383370.0,1.7216776022998532e-05,1.7216776022998532
5266,OWID_ASI,2021-05,167500.714,Azie,4721383370.0,3.547704155191278e-05,3.547704155191278
5267,OWID_ASI,2021-06,104616.85800000001,Azie,4721383370.0,2.2158094312938627e-05,2.2158094312938625
5268,OWID_ASI,2021-07,98523.43,Azie,4721383370.0,2.086749206303067e-05,2.0867492063030673
5269,OWID_ASI,2021-08,140538.287,Azie,4721383370.0,2.976633668280151e-05,2.976633668280151
5270,OWID_ASI,2021-09,93683.003,Azie,4721383370.0,1.984227834478944e-05,1.9842278344789441
5271,OWID_ASI,2021-10,50784.715,Azie,4721383370.0,1.0756320980560407e-05,1.0756320980560408
5272,OWID_ASI,2021-11,43687.857,Azie,4721383370.0,9.253189918360729e-06,0.9253189918360729
5273,OWID_ASI,2021-12,41426.0,Azie,4721383370.0,8.774123334958075e-06,0.8774123334958075
5274,OWID_ASI,2022-01,35580.145000000004,Azie,4721383370.0,7.535957623369187e-06,0.7535957623369187
5275,OWID_ASI,2022-02,56275.286,Azie,4721383370.0,1.1919236713031418e-05,1.1919236713031418
5276,OWID_ASI,2022-03,55742.574,Azie,4721383370.0,1.1806407070053284e-05,1.1806407070053284
5277,OWID_ASI,2022-04,23029.86,Azie,4721383370.0,4.877778014455115e-06,0.4877778014455115
5278,OWID_ASI,2022-05,9042.857,Azie,4721383370.0,1.915298185158813e-06,0.1915298185158813
5279,OWID_ASI,2022-06,7417.573,Azie,4721383370.0,1.5710592465614586e-06,0.15710592465614587
5280,OWID_ASI,2022-07,8427.999,Azie,4721383370.0,1.7850698279559535e-06,0.17850698279559535
5281,OWID_ASI,2022-08,18000.571,Azie,4721383370.0,3.812562884508995e-06,0.3812562884508995
5282,OWID_ASI,2022-09,14101.715,Azie,4721383370.0,2.986776098209538e-06,0.2986776098209538
5283,OWID_ASI,2022-10,7770.428,Azie,4721383370.0,1.6457947578190414e-06,0.16457947578190413
5284,OWID_ASI,2022-11,,Azie,4721383370.0,,
5320,OWID_EUR,2020-01,,Europa,744807803.0,,
5321,OWID_EUR,2020-02,18.573999999999998,Europa,744807803.0,2.4937977187116014e-08,0.0024937977187116014
5322,OWID_EUR,2020-03,24033.284,Europa,744807803.0,3.226776613133845e-05,3.226776613133845
5323,OWID_EUR,2020-04,115476.284,Europa,744807803.0,0.00015504172154866643,15.504172154866643
5324,OWID_EUR,2020-05,48166.856,Europa,744807803.0,6.467018176499958e-05,6.467018176499958
5325,OWID_EUR,2020-06,16363.999,Europa,744807803.0,2.1970767403466637e-05,2.1970767403466636
5326,OWID_EUR,2020-07,10897.001,Europa,744807803.0,1.463062142489396e-05,1.463062142489396
5327,OWID_EUR,2020-08,10183.428,Europa,744807803.0,1.3672558153905377e-05,1.3672558153905376
5328,OWID_EUR,2020-09,14008.86,Europa,744807803.0,1.8808691240309146e-05,1.8808691240309146
5329,OWID_EUR,2020-10,38657.287,Europa,744807803.0,5.190236574360916e-05,5.190236574360916
5330,OWID_EUR,2020-11,125306.287,Europa,744807803.0,0.00016823976131195284,16.823976131195284
5331,OWID_EUR,2020-12,150120.001,Europa,744807803.0,0.0002015553548114479,20.15553548114479
5332,OWID_EUR,2021-01,164154.573,Europa,744807803.0,0.0002203985677094202,22.03985677094202
5333,OWID_EUR,2021-02,117252.713,Europa,744807803.0,0.0001574268053150351,15.74268053150351
5334,OWID_EUR,2021-03,99334.575,Europa,744807803.0,0.00013336940697974937,13.336940697974937
5335,OWID_EUR,2021-04,102695.856,Europa,744807803.0,0.00013788235781949775,13.788235781949775
5336,OWID_EUR,2021-05,63944.143,Europa,744807803.0,8.585321306039002e-05,8.585321306039
5337,OWID_EUR,2021-06,31489.286,Europa,744807803.0,4.227840507734315e-05,4.2278405077343155
5338,OWID_EUR,2021-07,30971.143,Europa,744807803.0,4.15827316460056e-05,4.158273164600559
5339,OWID_EUR,2021-08,39646.426,Europa,744807803.0,5.323041171199975e-05,5.323041171199975
5340,OWID_EUR,2021-09,50123.145000000004,Europa,744807803.0,6.729675064910673e-05,6.729675064910673
5341,OWID_EUR,2021-10,75897.714,Europa,744807803.0,0.00010190241521946032,10.190241521946032
5342,OWID_EUR,2021-11,111174.141,Europa,744807803.0,0.00014926554280473886,14.926554280473885
5343,OWID_EUR,2021-12,113025.43,Europa,744807803.0,0.00015175113572219113,15.175113572219113
5344,OWID_EUR,2022-01,91498.141,Europa,744807803.0,0.00012284798928187385,12.284798928187385
5345,OWID_EUR,2022-02,90381.571,Europa,744807803.0,0.00012134885085246615,12.134885085246616
5346,OWID_EUR,2022-03,65499.998999999996,Europa,744807803.0,8.794214928492095e-05,8.794214928492096
5347,OWID_EUR,2022-04,41542.289000000004,Europa,744807803.0,5.577585094123941e-05,5.577585094123941
5348,OWID_EUR,2022-05,24172.86,Europa,744807803.0,3.2455164812498617e-05,3.2455164812498616
5349,OWID_EUR,2022-06,14306.713,Europa,744807803.0,1.920859709360483e-05,1.9208597093604831
5350,OWID_EUR,2022-07,21184.713,Europa,744807803.0,2.8443194223624426e-05,2.8443194223624424
5351,OWID_EUR,2022-08,23699.43,Europa,744807803.0,3.181952431827571e-05,3.181952431827571
5352,OWID_EUR,2022-09,16456.144,Europa,744807803.0,2.2094483883918173e-05,2.2094483883918175
5353,OWID_EUR,2022-10,20222.715,Europa,744807803.0,2.7151588528671738e-05,2.715158852867174
5354,OWID_EUR,2022-11,,Europa,744807803.0,,
5530,OWID_NAM,2020-01,,Noord-America,600323657.0,,
5531,OWID_NAM,2020-02,0.143,Noord-America,600323657.0,2.3820483889409676e-10,2.3820483889409677e-05
5532,OWID_NAM,2020-03,3262.572,Noord-America,600323657.0,5.43468837510763e-06,0.5434688375107629
5533,OWID_NAM,2020-04,62849.573000000004,Noord-America,600323657.0,0.00010469281406313128,10.469281406313128
5534,OWID_NAM,2020-05,56778.141,Noord-America,600323657.0,9.457921629098819e-05,9.457921629098818
5535,OWID_NAM,2020-06,40907.144,Noord-America,600323657.0,6.814181570725606e-05,6.814181570725607
5536,OWID_NAM,2020-07,46704.566999999995,Noord-America,600323657.0,7.779897802694788e-05,7.779897802694788
5537,OWID_NAM,2020-08,52122.714,Noord-America,600323657.0,8.68243544831684e-05,8.68243544831684
5538,OWID_NAM,2020-09,39459.287,Noord-America,600323657.0,6.57300216972792e-05,6.5730021697279195
5539,OWID_NAM,2020-10,37680.142,Noord-America,600323657.0,6.27663787036132e-05,6.27663787036132
5540,OWID_NAM,2020-11,56842.857,Noord-America,600323657.0,9.468701813961665e-05,9.468701813961665
5541,OWID_NAM,2020-12,99898.99799999999,Noord-America,600323657.0,0.00016640856450539644,16.640856450539644
5542,OWID_NAM,2021-01,135476.715,Noord-America,600323657.0,0.00022567279070263258,22.567279070263258
